номер образца,выигрыш ppm,ppm. без корр. LP,ppm. с корр. LP,ppm. без корр. INT,ppm. с корр. INT,коэфф. без корр. LP,коэфф. с корр. LP,коэфф. без корр. INT,коэфф. с корр. INT
4,-0.0074270410027849065,0.23248937354512317,0.23991641454790807,,, 39 17 39 41 20 23 11 0 15 0 7, 39 16 44 42 24 24 12 0 0 0 7,,
5,0.0,0.2760592140356929,0.2760592140356929,,, 26 16 36 0 23 9 15 0 15 0 7, 26 16 36 0 23 9 15 0 15 0 7,,
6,0.0,0.3774465708998621,0.3774465708998621,,, 25 16 27 0 24 2 15 0 15 0 7, 25 16 27 0 24 2 15 0 15 0 7,,
9,0.0,0.2937318907785604,0.2937318907785604,,, 18 19 59 0 20 2 11 0 15 0 7, 18 19 59 0 20 2 11 0 15 0 7,,
10,0.0,0.2213973382247522,0.2213973382247522,,, 41 18 23 26 20 30 9 0 10 0 7, 41 18 23 26 20 30 9 0 10 0 7,,
11,0.0,0.24712349702170175,0.24712349702170175,,, 19 17 83 25 25 4 14 0 0 0 7, 19 17 83 25 25 4 14 0 0 0 7,,
13,0.0,0.2398045504956933,0.2398045504956933,,, 45 18 47 71 17 31 12 0 13 0 7, 45 18 47 71 17 31 12 0 13 0 7,,
14,0.0,0.46382010452880035,0.46382010452880035,,, 10 21 31 1 17 0 9 0 0 0 7, 10 21 31 1 17 0 9 0 0 0 7,,
15,0.0,0.24274035156041732,0.24274035156041732,,, 43 18 8 24 19 30 10 0 0 0 7, 43 18 8 24 19 30 10 0 0 0 7,,
16,0.0,0.24004767600661153,0.24004767600661153,,, 19 22 32 0 13 18 6 0 14 0 7, 19 22 32 0 13 18 6 0 14 0 7,,
20,0.0,0.2228835433902209,0.2228835433902209,,, 28 16 78 20 26 11 12 0 15 0 7, 28 16 78 20 26 11 12 0 15 0 7,,
23,0.0,1.2426254618356114,1.2426254618356114,,, 1 31 13 0 10 1 5 0 0 0 7, 1 31 13 0 10 1 5 0 0 0 7,,
25,0.0,0.22204132541595084,0.22204132541595084,,, 36 22 43 45 11 25 7 0 15 0 7, 36 22 43 45 11 25 7 0 15 0 7,,
28,0.0,0.20790566241275402,0.20790566241275402,,, 27 17 60 36 22 21 11 0 14 0 7, 27 17 60 36 22 21 11 0 14 0 7,,
29,0.0,2.014581389920227,2.014581389920227,,, 12 31 4 0 6 0 6 0 0 0 7, 12 31 4 0 6 0 6 0 0 0 7,,
34,0.0,1.5171336996538465,1.5171336996538465,,, 19 19 1 30 31 4 13 0 0 0 7, 19 19 1 30 31 4 13 0 0 0 7,,
37,0.0,0.26408549162567513,0.26408549162567513,,, 33 17 37 3 21 12 11 0 15 0 7, 33 17 37 3 21 12 11 0 15 0 7,,
41,0.0,0.35642008581857726,0.35642008581857726,,, 15 21 52 2 16 0 10 0 15 0 7, 15 21 52 2 16 0 10 0 15 0 7,,
42,0.0,0.2274755608868711,0.2274755608868711,,, 26 16 65 17 25 9 12 0 15 0 7, 26 16 65 17 25 9 12 0 15 0 7,,
46,-0.00356194601268911,0.23114439973687106,0.23470634574956017,,, 25 17 55 19 22 15 12 0 15 0 7, 25 17 55 19 22 15 12 0 15 0 7,,
47,0.0,0.26250812031024706,0.26250812031024706,,, 42 19 60 66 17 24 9 0 15 0 7, 42 19 60 66 17 24 9 0 15 0 7,,
