номер образца,выигрыш ppm,ppm. без корр. LP,ppm. с корр. LP,ppm. без корр. INT,ppm. с корр. INT,коэфф. без корр. LP,коэфф. с корр. LP,коэфф. без корр. INT,коэфф. с корр. INT
4,0.0,0.8928029669138294,0.8928029669138294,0.8928029669138294,0.8928029669138294, 48 16 101 108 3 24 9 0 0 0 7, 48 16 101 108 3 24 9 0 0 0 7, 48 16 101 108 3 24 9 0 0 0 7, 48 16 101 108 3 24 9 0 0 0 7
7,0.0,1.2315869110946855,1.2315869110946855,1.2315869110946855,1.2315869110946855, 63 18 71 115 4 26 5 0 0 0 7, 63 18 71 115 4 26 5 0 0 0 7, 63 18 71 115 4 26 5 0 0 0 7, 63 18 71 115 4 26 5 0 0 0 7
9,0.0,1.407384284771979,1.407384284771979,1.407384284771979,1.407384284771979, 63 17 87 117 3 24 6 0 0 0 7, 63 17 87 117 3 24 6 0 0 0 7, 63 17 87 117 3 24 6 0 0 0 7, 63 17 87 117 3 24 6 0 0 0 7
11,0.0,1.0456377674515052,1.0456377674515052,1.0456377674515052,1.0456377674515052, 53 14 120 126 0 28 15 0 0 0 7, 53 14 120 126 0 28 15 0 0 0 7, 53 14 120 126 0 28 15 0 0 0 7, 53 14 120 126 0 28 15 0 0 0 7
12,0.001388054961959484,0.5762972693579893,0.5749092143960298,0.578341672041764,0.5749092143960298, 57 13 143 124 9 20 10 0 0 0 7, 57 15 130 107 7 21 7 0 0 0 7, 57 15 130 107 7 21 7 0 0 0 7, 57 15 130 107 7 21 7 0 0 0 7
14,0.0,0.7239909605123104,0.7239909605123104,0.7239909605123104,0.7239909605123104, 62 14 137 116 3 22 10 0 0 0 7, 62 14 137 116 3 22 10 0 0 0 7, 62 14 137 116 3 22 10 0 0 0 7, 62 14 137 116 3 22 10 0 0 0 7
18,0.0,1.3061190076793237,1.3061190076793237,1.3061190076793237,1.3061190076793237, 63 17 122 120 9 24 6 0 0 0 7, 63 17 122 120 9 24 6 0 0 0 7, 63 17 122 120 9 24 6 0 0 0 7, 63 17 122 120 9 24 6 0 0 0 7
20,0.0,0.5428636063200734,0.5428636063200734,0.5428636063200734,0.5428636063200734, 48 14 133 98 9 22 9 0 0 0 7, 48 14 133 98 9 22 9 0 0 0 7, 48 14 133 98 9 22 9 0 0 0 7, 48 14 133 98 9 22 9 0 0 0 7
