номер образца,выигрыш ppm,ppm. без корр. LP,ppm. с корр. LP,ppm. без корр. INT,ppm. с корр. INT,коэфф. без корр. LP,коэфф. с корр. LP,коэфф. без корр. INT,коэфф. с корр. INT
4,0.0,0.8440648134176931,0.8440648134176931,0.8440648134176931,0.8440648134176931, 48 16 105 104 6 25 8 0 0 0 7, 48 16 105 104 6 25 8 0 0 0 7, 48 16 105 104 6 25 8 0 0 0 7, 48 16 105 104 6 25 8 0 0 0 7
7,0.0,1.1299045498793325,1.1299045498793325,1.1299045498793325,1.1299045498793325, 63 17 79 123 8 26 5 0 0 0 7, 63 17 79 123 8 26 5 0 0 0 7, 63 17 79 123 8 26 5 0 0 0 7, 63 17 79 123 8 26 5 0 0 0 7
9,0.0,1.595053179189563,1.595053179189563,1.595053179189563,1.595053179189563, 63 16 87 122 1 25 8 0 0 0 7, 63 16 87 122 1 25 8 0 0 0 7, 63 16 87 122 1 25 8 0 0 0 7, 63 16 87 122 1 25 8 0 0 0 7
11,0.0,1.0166249652393164,1.0166249652393164,,1.0166249652393164, 53 16 109 108 1 27 10 0 0 0 7, 53 16 109 108 1 27 10 0 0 0 7,, 53 16 109 108 1 27 10 0 0 0 7
12,0.0,0.5791486098120611,0.5791486098120611,,0.5791486098120611, 57 16 121 97 5 22 6 0 0 0 7, 57 16 121 97 5 22 6 0 0 0 7,, 57 16 121 97 5 22 6 0 0 0 7
14,0.0,0.7135348889666301,0.7135348889666301,,0.7135348889666301, 62 16 125 103 2 22 7 0 0 0 7, 62 16 125 103 2 22 7 0 0 0 7,, 62 16 125 103 2 22 7 0 0 0 7
18,0.0,1.2795220635210476,1.2795220635210476,,1.2795220635210476, 63 20 105 95 5 25 4 0 0 0 7, 63 20 105 95 5 25 4 0 0 0 7,, 63 20 105 95 5 25 4 0 0 0 7
20,0.0,0.5839623981155456,0.5839623981155456,,0.5839623981155456, 47 12 154 120 15 19 12 0 0 0 7, 47 12 154 120 15 19 12 0 0 0 7,, 47 12 154 120 15 19 12 0 0 0 7
