номер образца,выигрыш ppm,ppm. без корр. LP,ppm. с корр. LP,ppm. без корр. INT,ppm. с корр. INT,коэфф. без корр. LP,коэфф. с корр. LP,коэфф. без корр. INT,коэфф. с корр. INT
1,0.0,2.915951529554044,2.915951529554044,,, 0 23 75 0 13 3 6 0 0 0 7, 0 23 75 0 13 3 6 0 0 0 7,,
2,0.0,1.4996224700431668,1.4996224700431668,,, 17 16 107 0 21 0 8 0 0 0 7, 17 16 107 0 21 0 8 0 0 0 7,,
3,0.0,3.665743510259334,3.665743510259334,,, 10 22 62 0 12 4 5 0 0 0 7, 10 22 62 0 12 4 5 0 0 0 7,,
4,0.0,1.832883971279708,1.832883971279708,,, 16 24 102 0 16 19 0 0 0 0 7, 16 24 102 0 16 19 0 0 0 0 7,,
5,0.0,3.082574249424413,3.082574249424413,,, 4 25 52 0 7 6 5 0 0 0 7, 4 25 52 0 7 6 5 0 0 0 7,,
6,0.0,1.2497067354860727,1.2497067354860727,,, 21 15 119 1 26 0 8 0 0 0 7, 21 15 119 1 26 0 8 0 0 0 7,,
7,0.0,1.832880001013083,1.832880001013083,,, 11 16 118 3 27 2 6 0 0 0 7, 11 16 118 3 27 2 6 0 0 0 7,,
8,0.0,2.1661372266261925,2.1661372266261925,,, 15 19 89 0 16 4 6 0 0 0 7, 15 19 89 0 16 4 6 0 0 0 7,,
