номер образца,выигрыш ppm,ppm. без корр. LP,ppm. с корр. LP,ppm. без корр. INT,ppm. с корр. INT,коэфф. без корр. LP,коэфф. с корр. LP,коэфф. без корр. INT,коэфф. с корр. INT
2,0.011745350952439226,1.5433405665842368,1.5315952156317976,,, 31 17 111 79 2 0 9 0 3 0 7, 31 17 111 79 2 0 9 0 3 0 7,,
3,-0.010182291642000019,1.0371652112208938,1.0473475028628938,,, 58 15 107 123 0 27 14 0 9 0 7, 58 15 107 123 0 27 14 0 9 0 7,,
11,0.0,1.2894104377733713,1.2894104377733713,,, 63 15 56 91 0 31 13 0 6 0 7, 63 15 56 91 0 31 13 0 6 0 7,,
12,0.0,0.9937374320029193,0.9937374320029193,,, 31 15 100 76 4 1 9 0 2 0 7, 31 15 100 76 4 1 9 0 2 0 7,,
15,0.0,1.79428223030405,1.79428223030405,,, 32 16 78 74 0 3 11 0 1 0 7, 32 16 78 74 0 3 11 0 1 0 7,,
16,0.0,1.0840415515495283,1.0840415515495283,,, 60 17 54 66 1 31 9 0 4 0 7, 60 17 54 66 1 31 9 0 4 0 7,,
22,-0.017624646961390322,1.2883207130644792,1.3059453600258695,,, 25 15 99 25 4 11 10 0 3 0 7, 25 15 99 25 4 11 10 0 3 0 7,,
23,0.0,1.0228650126361496,1.0228650126361496,,, 37 14 118 79 0 12 15 0 2 0 7, 37 14 118 79 0 12 15 0 2 0 7,,
24,0.0,0.8176216920080841,0.8176216920080841,,, 52 17 95 74 0 22 9 0 9 0 7, 52 17 95 74 0 22 9 0 9 0 7,,
28,0.0,1.1683283002895364,1.1683283002895364,,, 52 15 81 90 0 30 14 0 0 0 7, 52 15 81 90 0 30 14 0 0 0 7,,
